Population by GN division and age|||||||||Census of Population and Housing 2012|||||||||||||
|GN|||||||||||Age group||||||||||
DikkumburaKodagoda South|165169|1,645932|19148|16668|12878|9562|7162|14561|15759|15255|11461|9376|6368|5150|5248|4849|5230|3916|1625|912|32|02
Kodagoda EastHoradugoda|171A168|1,2211,160|9388|10588|8690|11390|8955|9571|8092|7972|7884|6179|6561|7678|5251|6154|3038|3232|1424|1010|12|11
EllalagodaAndugoda|170A170|8451,643|68160|64158|64139|71107|46107|66112|66121|41135|56117|4785|5271|5078|3875|3754|2639|2537|2127|617|02|12
PanugalgodaIndurannavila|165B165A|1,5471,929|134176|144168|131128|126136|112135|115174|118166|92123|103117|108130|7694|69103|81100|5479|3242|2324|1614|1010|25|15
AtanikithaThittagalla West|166B166A|2,915983|28278|31458|23766|22870|17890|24879|23982|22153|20255|15356|15868|12859|11251|8547|3822|4626|3316|116|21|00
HabaraduwaYaddehimulla|137B|62,389584|5,13644|5,16642|4,77940|5,05446|4,78346|4,98449|4,61248|4,10841|4,07744|3,80940|3,57642|3,17932|2,88227|2,20613|1,58414|1,17713|7562|3801|1060|350
BonavistawaUnawatuna West|137C137|1,152813|8768|7758|9652|10066|7641|7254|8348|8375|7461|6755|6338|6748|6143|4345|4029|2815|2113|104|30|10
Unawatuna EastMaharamba|136136A|1,838843|12863|11679|12269|15554|12357|14178|13476|12242|12954|13463|13451|9348|9037|7929|4917|4312|299|115|60|00
DalawellaUnawatuna Central|132A137A|677928|5566|6059|4961|4085|4777|6075|4665|4953|3858|4263|4062|3879|3344|2717|2218|2020|515|48|21|02
Thalpe SouthHeenatigala South|132148|823830|6367|5866|4958|7563|6762|6158|6066|5759|5371|5656|4333|4741|4449|2924|2225|2213|813|74|11|11
WellethotaHalloluwagoda|148B143A|1,660971|16163|15476|14184|13278|14578|14054|13467|11049|9957|9457|8169|7166|6950|5050|3426|2222|1014|87|34|20
HandugodaDodampe|143B143|794788|6962|8054|5549|6547|4651|5767|5059|6742|5051|4952|4350|5046|3743|2939|1624|1522|823|75|12|00
AttaragodaThalpe East|142A148A|1,1311,200|102115|100103|9093|8390|6176|72100|87111|7196|8874|7058|5359|4661|7241|4953|3928|2726|116|36|52|22
KahawennagamaMorampitigoda|148C144B|1,2401,125|127101|12094|9679|9796|11886|11590|86102|5986|8477|7256|6954|4951|4747|3343|2926|1818|158|610|01|00
UragasgodaPitidoowa|144F142|8161,067|6184|5676|5683|7074|5568|5673|5266|5881|6580|4159|4658|4566|5648|3649|2439|1625|1527|66|25|00
MeepeBogahamulugoda|151A151C|1,713743|14757|15462|14753|11948|11549|10767|10442|12463|14142|11855|9054|9734|8430|5126|4022|3219|2715|135|10|20
HappawanaAnnasiwathugoda|151151B|685959|5973|5387|5683|5793|4465|3872|3659|4553|5858|4169|3964|4354|3842|2733|2418|1118|1011|54|11|02
Harumalgoda WestLanumodara|149151D|1,4901,359|12498|13089|10697|113124|99109|104114|9597|10975|8980|9271|9887|8074|8178|6264|4146|3328|1516|1610|12|20
Liyanagoda|144|879|53|69|64|68|91|80|57|59|60|58|46|47|39|22|19|21|16|8|2|0
KatukurundaHarumalgoda Central|144C149B|1,8321,151|167111|160112|12997|15074|14982|130101|16080|140101|12676|11068|10457|6756|7744|5537|4326|3712|1812|84|21|00
GodawattaHarumalgoda East|149C149A|1,3661,856|123194|187194|152143|102129|73132|94160|119150|107135|83140|58100|61102|6674|4465|3751|2637|1124|1115|1010|21|00
Koggala Athireka IKoggala Athireka II|144D144E|1,4741,800|118143|129155|109136|139175|146162|146159|123151|82109|103107|93102|78103|5387|4951|4047|1949|2433|1318|812|21|00
KoggalaKathaluwa West|144A162|900754|3858|4654|4053|12455|17870|11059|5656|5540|5541|3162|3252|3737|4532|2329|1221|1118|64|111|01|01
AtadahewathugodaKathaluwa East|162A164|9861,283|76100|79113|78100|77103|80113|84112|59115|6484|5966|5383|6552|5262|5451|3055|2627|2324|1418|103|31|01
WelhengodaKathaluwa Central|164D164B|852824|7769|7273|5566|6974|6353|7664|6368|5851|4863|4649|5540|3941|5246|2530|2117|1110|147|72|11|00
AlawathuthisgodaPelessa|164G166C|7511,208|5397|54104|52102|63104|4796|6790|5290|4290|4662|5953|4958|4082|4156|2951|2426|1527|117|49|22|12
KorahedigodaAhangama Nakanda|159B159|1,5101,320|13691|145110|134111|122100|11396|10190|13086|10870|11188|7691|7791|6568|5267|4838|3241|2635|2426|816|24|01
KalapuwaAhangamgoda|159D159C|560921|4862|4767|4372|4071|3675|4068|4059|2559|4771|3468|3349|3447|3055|2236|1728|1410|813|17|14|00
DanduhelaMeegahagoda|164C164A|9861,271|84123|85107|81120|7394|6082|93103|7585|5498|6269|6063|7257|5071|3972|4256|1534|1619|129|96|31|12
KahawathugodaMeliyagoda|164E164F|1,4311,599|127163|143126|111132|129137|117119|132137|100137|87117|9593|92117|6887|6861|5354|4335|2429|2030|1317|65|21|12
Piyadigama WestWadugegoda|161161B|1,000573|9653|8236|5841|9233|10131|10142|6944|4736|5945|6632|7031|5334|3331|3431|1823|1018|86|24|11|01
KarandugodaKalahegoda|161A160B|816375|5838|6527|6827|6926|5827|6234|5427|6024|5721|5223|4725|4422|4221|3212|229|138|83|21|10|20
DommannegodaPiyadigama East|160A160|1,125606|7947|8647|9740|8658|9952|9261|8550|6032|7543|6942|7726|5232|5026|4420|3517|2510|82|41|20|00
Ahangama CentralDigaredda|157159A|1,021621|6855|7542|9634|8644|6853|7050|6639|6839|6331|6640|7044|4929|5733|3828|3326|2012|1511|88|43|10
ThaldoowaAhangama East|156B156|871933|6668|6362|6468|7876|6178|7870|6871|4951|3864|6051|6669|4846|4749|2737|1925|1419|1917|38|33|01
GoviyapanaMatara|156A|705814,048|5368,712|4769,268|4264,903|6465,320|6159,368|5457,673|5558,628|3853,356|3551,974|5249,907|4349,654|4045,191|3438,603|2228,886|3218,925|1915,769|710,388|34,922|31,725|1876
PitabeddaraKalubovitiyana|259|51,186928|4,30576|4,39177|3,98365|3,98451|3,64969|4,02185|3,96574|3,45771|3,37764|3,20655|3,12158|2,88548|2,29245|1,67536|1,06823|89716|5107|2312|1105|591
GalabadaAmbewela|259D259C|1,0931,444|93111|68112|90112|85109|6890|94113|101110|79101|75108|70105|6893|7686|4556|3152|1836|2328|514|36|02|10
Dangala WestBanagala East|259B260|1,4831,445|122115|118150|123113|130111|129125|149125|13088|8986|103102|7583|6892|7077|6665|4733|2927|1819|1414|112|26|02
Dangala EastBanagala West|259A260A|1,5461,147|11377|15483|13987|98110|11681|10185|12193|12493|11171|11277|8064|6262|6350|5145|3418|4128|1215|56|71|21
Edandukitha WestEdandukitha East|258C258A|902941|6182|6675|7073|6674|7361|7470|6873|5962|6958|5177|7767|5253|3638|3525|1824|1517|49|53|30|00
Alapaladeniya SouthAlapaladeniya North|258B258|1,0681,140|9091|8593|7983|7673|9360|9779|8693|82100|5780|7068|5878|6961|4947|2347|1925|1438|1213|55|15|31
Kiriwelkele NorthRambukana West|261F262G|2,0821,388|177151|186117|127114|14195|13696|177120|151119|15777|13488|13478|11372|13470|8967|8050|5624|4425|2914|158|12|11
Kodikaragoda WestKodikaragoda East|262C262H|1,5121,323|10986|126107|99104|10890|9891|109110|108112|12594|10698|11580|9683|9582|6664|5636|4036|2925|1816|45|42|12
WeliwaRambukana East|262A262B|1,9831,160|16593|190109|16691|12983|14354|15759|13886|14293|12988|12275|11574|11074|9354|6136|4935|2624|2115|188|53|46
ThalapekumburaKudagalahena|261G261H|1,4391,333|164121|142100|132110|119107|127106|111114|10889|8588|9390|8383|7377|6595|5661|3833|1518|1125|147|14|13|12
Kiriwelkele SouthDerangala|261C261B|1,3661,809|108170|99141|96155|89149|106137|123151|113114|74110|97112|85111|103146|75107|6377|4945|3829|2430|1614|58|23|10
ThennahenaGorakawela|261E261|1,3471,272|126121|143114|104108|125102|10595|11285|114111|8782|7981|7568|7566|5572|5766|4040|1428|2017|1211|12|02|31
Siyambalagoda WestKosnilgoda|263262D|1,2951,482|116141|100119|10298|9795|98100|89112|99125|85112|7492|8666|74107|7281|7083|4157|3939|2728|1315|109|21|12
AluwanaParadupalla|262E262F|982637|7251|7471|9552|7347|7747|8359|6758|5531|6639|5447|6335|4835|5028|3812|288|164|126|45|60|12
MahapothuvilaDankoluwa|263D265A|1,2272,151|93168|102213|88199|99174|97148|120155|88135|75137|79125|71158|94133|79119|5497|3476|1735|1242|1418|97|28|04
PitabeddaraKaduruwana|261A261D|1,3991,658|114178|134167|118134|137129|10787|102116|101166|92123|97114|9890|8876|7091|4954|3349|2235|2227|1110|27|15|10
DehigaspaKotagala|265266|1,054979|8259|8068|5365|95109|6657|8664|8363|5772|5967|5659|7158|8660|5758|5339|2332|2323|1015|105|34|12
Siyambalagoda EastWanasinkanda|263A263F|737602|6949|6551|5452|5264|5141|5142|4456|5538|5536|4439|4737|3227|3829|2619|148|168|124|71|31|20
DiyadawaIhala Ainagama|263C263E|1,107857|9381|9578|9254|8867|9458|10871|9663|6957|6256|6962|6959|5047|4234|3526|1415|1113|1011|53|22|30
Elamaldeniya|266A|1,276|105|106|113|102|92|90|135|83|75|81|62|85|53|33|18|23|11|4|1|4
WathurakumburaPuwakbadovita|265C265B|1,2841,308|102110|106107|9480|108128|8387|71102|9987|8670|9494|9579|7181|7281|6360|6550|3236|2520|1022|47|36|11
KotapolaMederipitiya|240|63,2551,049|5,29863|5,49885|5,55189|5,12985|4,59272|4,91056|4,85991|4,17579|3,92171|3,80274|3,81477|3,48161|2,88449|2,05136|1,30527|99511|5779|2725|765|654
KeeriwalagamaKiriweldola|241G241A|1,5811,721|132148|132131|131144|118157|116146|114150|144136|105111|88102|90102|109107|8789|9364|5249|3526|1931|1113|211|14|20
KandilpanaViharahena|241H244|3,1812,757|313244|294278|353257|291216|245208|270252|241200|190186|189173|167156|168154|166130|123123|9691|3738|2124|1020|64|13|00
AdaradeniyaIhalagama|244C243B|1,8111,970|196165|184162|158178|150167|165107|150121|129149|90129|99115|108118|91137|93105|7887|5874|2160|2748|829|412|26|01
BateyayaPussawela|241C241F|1,5441,231|12998|130114|126133|12498|10492|11299|12193|8882|10979|10068|9366|8867|6760|5126|4621|2513|1713|116|12|21
Pallegama NorthPathawala Nadakanda|241241D|2,4401,418|192118|201129|226131|165119|15990|15796|164123|161102|15987|14799|15182|16365|13460|8640|5833|5620|3413|176|71|34
PoddanaKolawenigama|240C240A|1,5132,101|114172|132213|153189|114195|112163|114149|118150|105147|95117|90147|92115|80120|7369|4555|3140|2628|1114|49|04|45
Pallegama SouthDeniyaya West|241B243A|2,2301,623|173151|171162|184144|189134|17193|133121|147115|143134|150118|13390|15071|14072|13069|7959|6139|3131|2912|98|60|10
DeniyayaKalugalahena|243244B|2,2242,668|159227|150257|202238|168196|178163|190195|191205|142155|126147|128176|134166|146171|101137|83105|5450|3951|2120|76|32|21
ThenipitaMugunumulla|244A242C|2,951844|26556|26568|29857|24165|20270|22479|19954|17349|18250|17153|18264|15952|14041|10134|6222|4615|2310|115|30|40
NawalahenaKotapola North|242D242|1,1102,660|82227|74268|79208|88224|85178|74201|72221|74207|80180|73166|72164|72111|60105|4880|2049|2838|1715|1114|00|14
NishshankapuraBeliattakumbura|241E240B|1,3831,604|125151|136148|148124|119138|112121|121147|97133|80112|7998|6998|8083|7183|5563|3843|2629|1920|612|21|00|00
MorawakaPorupitiya|257257B|2,8511,018|228101|24781|22589|20663|17276|228117|27978|20981|19464|15252|15852|15047|13936|10837|5918|3619|405|142|40|30
WarallaKoodaludeniya|256256C|1,3161,111|10794|123103|125103|8187|8075|10267|8888|9570|8165|7261|7878|7867|7058|5028|3223|1821|2516|64|03|50
Kotapola SouthUsamalagoda|242A242F|1,7761,342|14793|131107|14397|148122|12190|115102|11996|13685|12288|12377|11590|9075|8482|6448|4125|3832|1518|129|43|83
LindagawahenaKosmodara|242G242E|1,7521,593|134116|141133|134120|149117|113144|141130|155111|117113|119100|10493|94124|11287|7373|5953|3836|3518|1813|129|22|21
IlukpitiyaHoragala East|242B256A|1,014732|8858|8155|7055|8468|9667|9485|8141|7939|4739|5854|5849|5040|4127|3520|1810|1610|139|55|01|00
Horagala WestUvaragala|256D256B|1,693694|15455|13457|14757|14362|15048|15542|14259|9044|8942|8341|9543|8652|9137|4310|4419|2715|114|74|21|02
PelawattaParagala|257A263B|1,6531,096|12994|13190|14195|15979|13870|11394|129100|10271|10474|13079|11062|8868|5537|3829|3522|2518|167|84|12|11
PasgodaBatandura South|251E|59,1601,446|5,174131|4,968139|4,630132|4,443109|4,09075|4,27986|4,642118|4,316118|3,973109|3,72182|3,70997|3,24384|2,61861|1,95639|1,35932|1,02511|61520|2523|900|570
Batandura NorthThalapalakanda|251A250C|9321,443|70150|76120|63101|61113|60109|85107|64114|7287|6082|51100|6190|5879|5055|3856|1625|2126|1716|58|33|12
KekundeniyaKetawala|250B246A|1,8831,650|163146|141157|131141|129120|124118|139123|144137|144141|130109|12778|125104|10887|10062|6748|3030|4119|2212|138|46|14
Ginnaliya NorthPattigala|246C246E|1,4011,884|109166|116146|96144|109132|98114|118118|108169|121153|95156|83105|10192|81107|6486|3677|3058|1933|1317|28|21|02
Beralapanathara SouthBeralapanathara North|250A250|1,2441,847|98158|113131|112160|94125|87117|91124|96143|91138|72127|91142|81105|6390|5490|3460|2652|2443|1126|511|11|04
WijayagamaPathavita|250D250E|1,2851,217|112107|11894|9983|9889|8972|10798|9197|84101|8580|8070|6874|7865|5659|4354|3731|1724|1513|52|22|12
KirilipanaMoragala|251251B|1,7021,172|140102|162106|14291|13369|11278|14079|13499|11491|10294|10975|10363|8359|8553|5237|3533|3221|1221|81|20|20
Keeripitiya EastUrubokka|249249A|1,4302,631|129258|105243|114218|115204|103214|109198|112232|90210|80177|83151|111129|81122|6092|5178|3448|2430|1820|94|22|01
Ginnaliya WestGinnaliya South|246B246D|1,2981,164|10798|9993|87105|125109|108106|10385|10182|9572|7062|9678|7778|7762|5247|3545|2617|2011|126|34|42|12
Ginnaliya EastMekiliyathenna|246249B|1,0151,726|102165|93145|59126|73137|75143|84160|78115|96117|60119|47106|50114|4691|6266|2941|3131|1529|914|32|22|13
HeegodaKeeripitiya West|249C249D|1,9961,222|16289|18196|169105|18191|11372|13563|15092|15385|12988|12297|15083|9979|7765|6239|4032|4021|1813|89|53|20
PothdeniyaMologgamuwa North|255A251C|1,188958|8781|10074|8983|9384|7396|9783|8973|7161|7965|7460|7556|6943|6733|4228|3614|2211|157|54|30|22
Mologgamuwa SouthBengamuwa West|251D255B|9281,329|90127|86109|70118|6087|6897|8391|9388|51103|5482|5485|5779|4778|4164|2442|1735|1428|710|74|32|20
Bengamuwa EastDampahala West|255253A|1,4971,501|131137|124135|117110|105115|9485|9994|134117|123113|100106|9099|7190|8579|7659|5269|4737|2628|1118|88|22|20
HulankandaDampahala East|253B253|1,4531,940|136161|132140|118156|112160|76148|92131|117133|100103|98117|75139|111126|87132|60102|4967|3751|2643|1617|59|54|11
PasgodaBengamuwa South|254255C|2,6621,220|246111|212108|204104|193108|20090|17486|21488|21781|211102|16760|15486|13755|10144|9330|6129|5218|2015|34|31|00
Denkandaliya|268D|707|57|51|58|44|51|69|52|53|49|39|40|41|32|29|18|14|8|2|0|0
Panakaduwa WestRotumba East|267A268A|1,073637|11142|8551|6352|6047|7646|7833|9146|8242|6445|5946|8141|7442|4936|3523|1720|179|1910|85|20|21
NapathellaAndaluwa|268C254A|7151,044|5897|5483|6197|4686|5476|5467|5966|4269|3970|4674|5360|4160|3451|2826|2026|1413|713|35|01|24
EhelakandaGalketikanda|270A268B|1,175873|11174|9177|9463|6265|6452|8167|10278|7152|7867|7951|8549|6853|6433|4334|3424|2720|139|53|12|20
Rotumba WestPanakaduwa East|268267|9241,309|61107|80114|6295|5288|4899|5097|7799|84101|6993|7978|5493|5267|3946|3954|2731|2621|1616|66|33|01
GomilaPuwakgahahena|270B270C|1,3451,057|12490|13287|10457|10593|9488|9561|10188|8875|9561|8870|9574|6271|5255|3531|2525|2219|153|106|10|23
MawaralaMulatiyana|270|2,03750,261|1734,592|1694,319|1773,836|1623,746|1283,263|1453,522|1613,724|1613,462|1433,267|1363,060|1233,036|1012,839|842,311|621,867|341,192|341,043|25675|15330|3118|159
Gombaddala NorthKudapana|271A271B|881833|7283|7257|6152|5555|5146|6681|6872|7051|7362|4438|4436|5358|4441|4846|2028|2318|85|31|32|31
KetapalakandaGammedagama|273C273A|1,064908|10179|10185|8870|7553|6749|7273|8271|7270|7362|7850|5943|5043|4048|4544|2725|2025|119|25|03|11
Ketiyape NorthAthapattukanda|273276B|8981,091|77100|71108|6283|5173|7077|6463|7581|6086|6489|5476|4261|5155|5148|3626|2917|1523|1412|69|34|30
Parapamulla EastKetiyape South|276273B|1,059778|8748|8975|7658|8456|5741|7249|7046|7954|6345|8163|6750|5960|4641|4734|3518|2417|815|106|41|11
GaletumbaNeralampitiya|275C272A|819976|6896|6080|5864|6376|6450|6167|4982|6663|5275|4055|6262|4546|3550|3645|2619|1822|814|46|43|01
MulatiyanaDiddenipotha North|272302B|1,162680|10465|9354|7344|8547|9145|8155|7153|8045|8248|7940|8052|7331|5835|4126|1812|1911|239|87|21|10
Beragama NorthGombaddala South|303B271|1,4241,301|121139|113130|110105|11173|8184|8980|102120|102108|9884|8479|8758|8673|7156|6541|3538|3816|168|105|44|10
Beragama WestBeragama South|303A303C|1,3971,168|10592|100100|114104|13899|8798|10879|10290|7383|9667|7753|8368|10163|8053|4842|2827|2322|2018|107|32|11
Makandura WestBeragama East|301303|1,3591,107|13788|12584|11570|10372|6471|9595|10285|9377|8973|8773|8261|7762|6253|3638|2543|2925|2221|911|60|15
Diddenipotha EastDiddenipotha South|302302A|6381,014|5591|5591|4368|5079|3174|3772|4167|4466|4244|3869|3762|5173|2946|2342|2432|1820|1410|57|01|10
Seenipella WestMaduwala|275A275D|1,2241,241|118125|10987|9088|8780|7470|9281|8198|9198|8467|8193|6684|6472|5347|3858|2032|2729|3218|1112|41|21
Seenipella EastDeiyandara|275B275|9211,906|86180|68177|77142|69142|53130|83125|77140|60142|65106|66139|49125|35111|3475|3053|2641|2434|1327|514|02|11
Parapamulla WestParapamulla South|276A276C|711629|5953|5850|5541|5343|4038|4840|6352|3640|4941|4930|5038|4149|3737|2628|1219|1813|129|45|01|12
Dewalegama WestDewalegama East|277A277|1,085874|9590|10587|8077|8459|6348|6266|7561|6464|9455|5960|7945|5340|5640|4027|2721|2212|1710|77|23|12
BatadolaKithsiripura|279279B|1,299969|13683|11988|12675|10158|9765|10068|11167|8166|7563|7552|5059|5958|5749|4332|1627|2529|1421|94|44|11
Radawela WestBelpamulla|278A275E|686818|6576|5663|5651|5054|3449|4446|5365|5467|3755|3662|4358|3546|3930|3527|1823|1119|1014|511|42|10
Bamunugama WestMakandura East|300B301B|1,2341,257|114114|10399|9694|10583|9082|59100|95102|9491|7983|7158|9377|7165|5368|5041|2030|1921|1223|719|24|13
Ransegoda EastMeepavita|301C299B|9431,004|9889|9388|7777|6668|5475|6555|5574|6451|6357|6259|5562|4682|4253|3048|2319|2224|1612|97|23|11
MudaligedaraRathkekulawa|299C299E|8731,593|67150|78147|64106|73130|65112|44133|48130|54101|5787|5692|64100|5793|4363|3161|2134|3320|1024|75|12|03
Ransegoda NorthRansegoda South|301A299A|1,6061,349|165122|162123|136127|124109|10469|11977|129121|12099|10179|10263|7389|7682|5850|4349|3537|2331|1314|134|71|33
Ransegoda WestKoramburuwana|299D299|764799|8669|7559|7466|6359|3636|4457|4055|5555|7248|3743|4857|3839|2452|2733|1720|1229|1315|16|20|01
Horapavita SouthHorapavita North|300C300A|9481,120|9698|8082|7475|8091|8094|6971|6175|5879|5878|4567|6657|4865|4163|2749|2227|2321|1019|63|35|11
Bamunugama EastRadawela East|300278|823804|6168|5957|6844|6457|4670|6160|4861|4853|5343|6563|6951|4960|4234|3427|1925|2315|69|55|21|11
PallawelaPitawalgamuwa|279C279A|9041,320|76145|78126|69113|83113|80111|63131|6296|5382|6176|5562|6865|4847|2856|2645|1916|1622|125|44|24|11
AthuraliyaKehelwala|304A|32,304478|2,59645|2,90042|2,60637|2,44839|2,53120|2,14144|2,26339|2,06826|2,09237|1,91715|1,97327|1,82536|1,55221|1,18723|78316|6837|4413|2080|670|231
UrumuttaUrumutta South|304304B|1,471913|12685|11088|14783|10960|10069|10170|8871|8463|10458|8953|9752|7249|7444|5822|4021|3413|275|45|61|11
DematapassaDivithura|305B305A|1,512979|13171|13184|13466|10574|12077|11675|12068|9157|10069|8160|9569|9256|7954|4636|2722|1816|1511|911|21|02
WelihenaHawpe|305306C|1,3321,322|96102|111150|111116|113105|9788|9097|10187|6983|8878|7573|9879|7478|7757|4144|3133|2524|2122|95|31|20
Thalahagama WestWenagama|306A306B|1,0631,742|91149|110139|78120|66111|65119|63106|77124|65132|73104|5798|73109|60113|5499|4068|3363|2641|1927|1114|26|00
Thalahagama EastUggashena|306313D|1,9661,426|157109|170142|157133|159136|12893|143102|14998|12884|126106|114113|10781|11985|9545|7641|5122|4223|328|72|53|10
Vilpita West|313A|1,201|100|110|103|86|94|80|76|66|91|82|67|71|56|45|26|23|18|6|0|1
KanahalagamaGodapitiya|308B308A|1,1801,735|108176|128205|94190|89172|67135|79105|98112|7797|73102|68105|7188|5992|6062|3539|2818|2421|1311|94|01|00
MaragodaPanadugama|308C308|9791,300|80102|93126|6990|8499|6274|5284|52104|6685|7777|6985|5876|6185|4472|2950|2228|3034|1316|158|34|01
Thibbotuwawa NorthWalagepiyadda|310A313C|7481,081|5391|54112|6394|6075|3751|3945|5688|5895|4281|4859|6056|5246|3256|3446|2329|1922|522|811|32|20
Vilpita East 1Vilpita East 11|313313B|5691,432|4471|3782|3970|4565|25520|4471|3273|4392|2761|3253|3256|3956|4352|2944|2130|2015|1017|53|11|10
YahamullaNamburukanda|314B314C|945496|8240|9344|7549|7338|7231|6835|6942|5941|4526|5726|6326|4526|3931|3523|315|184|106|91|11|11
Ihala AthuraliyaBalakawala|314310B|8501,157|6287|7892|6496|6882|4968|4183|4681|5672|7890|5377|5787|4272|3352|3843|2626|3519|1121|96|32|11
ThibbotuwawaAthuraliya West|310314D|1,796833|14566|15267|12260|13860|10056|13364|14153|12447|11149|11649|10954|10743|7356|7136|4422|5325|2515|187|93|51
Athuraliya EastPahala Athuraliya|314A315|5731,225|3889|5199|4799|3998|4173|4368|4078|3870|3782|2783|4185|3263|2963|3362|1233|1537|830|111|12|00
AkuressaDiganahena|366B|52,912515|4,38343|4,47436|4,32253|4,13244|3,59541|3,79238|4,10144|3,46422|3,36439|3,18034|3,25628|2,91927|2,49122|1,91418|1,2767|1,02313|7224|3321|1151|570
Lenama NorthHulandawa|363F363E|1,728617|13747|17345|16660|15264|10647|11951|14048|10443|9040|9629|10546|8935|9725|629|3115|307|194|81|11|30
Maramba NorthPeddapitiya North|363A363D|1,2031,073|12470|12682|12199|91101|9268|7157|10577|10569|6871|6375|5460|5783|5556|2342|2120|1119|815|47|21|21
IdikatudeniyaLenama South|363H363B|655712|3550|5058|5957|5348|3548|4434|4866|4743|4553|4546|4246|4541|3436|2624|1423|1323|1410|25|21|20
UdupitiyaWeliketiya|363G367A|5431,202|40123|45115|32105|3291|3186|4491|3985|4089|4286|3073|3268|3655|2235|3133|2220|1823|319|33|10|02
DediyagalaVilagama|366A367B|1,564491|15341|11144|13237|9943|12431|14149|12943|11423|9922|7427|8837|9440|6315|6410|319|1910|199|71|20|10
EhelapeDolamawatha|367368B|1,5871,535|116135|109116|112127|118127|107105|132106|134141|83111|9493|8384|120106|9592|8358|5740|4934|4124|3026|199|20|31
KohugodaIhala Maliduwa|368D368A|1,1281,149|117104|115104|8795|7473|9868|9785|11084|6383|5172|6578|5577|6953|5255|3836|1321|927|819|612|00|13
KetanvilaNawalagoda|366367D|1,376919|12191|10478|11673|9965|8483|87100|10384|8546|8239|9041|9056|8845|7746|3735|4017|244|309|155|42|00
EllewelaMinipogoda|367C362A|1,242768|11770|11747|11155|9558|12460|9762|8566|7253|9052|7729|6256|5435|4442|3836|2316|1814|109|47|00|41
Peddapitiya SouthMaramba South|363C363|1,025894|8166|8470|8966|7153|5944|6861|8470|5961|6048|6953|6560|5648|4766|4146|3238|3213|1916|67|38|00
GanhelaAsmagoda|362362B|1,016603|9561|7158|7439|8133|6525|7841|8555|7044|7240|6034|6239|5034|4727|3521|3413|1920|89|65|41|04
HiggodaDiyalape|364A364|1,6871,130|130100|14898|15299|10982|10070|12361|11089|12579|12276|9065|11768|7855|8153|5851|5733|4122|2620|136|63|10
EramudugodaManikgoda|365365A|1,289782|11456|13056|8858|8471|7957|8945|10159|10552|7955|8348|9054|6151|6349|4222|2217|2514|177|147|23|11
Pahala MaliduwaBopitiya|368368C|1,4361,421|119120|139130|124116|13291|8185|89110|111109|9490|8885|8195|9084|8977|5570|4747|3233|2937|1825|109|57|31
IluppellaImbulgoda|361B361C|1,8041,249|12692|162102|13599|156104|12070|13689|134100|125104|10086|11560|11178|9470|9453|8051|5035|3324|2019|88|32|23
PorambaAkuressa|361A360|1,5821,178|10386|13590|12083|13289|79104|12885|10880|9983|10763|10069|10064|9269|8059|9155|3136|3428|2522|1111|62|10
YakabeddaGalabadahena|360A360C|2,023966|16177|19595|17475|14485|12160|14060|15674|14762|14168|11066|12465|10745|8642|8023|5430|4022|2313|163|21|20
Ihala KiyanduwaMelewwa|360B359C|1,1681,183|108110|88115|8185|9390|7390|7484|100105|6069|7781|8666|6565|6460|7154|4138|2421|2922|2014|86|37|31
Paraduwa NorthParaduwa East|359359B|1,104984|8773|8883|8282|8797|7456|6348|9664|6663|6965|6871|6665|7049|5958|4736|2928|1720|1417|116|93|20
Paraduwa SouthHenegama|359A370|1,1061,356|80113|91109|93103|88120|7686|6887|8870|68109|67100|6294|7866|6467|5063|5454|3147|2826|1323|413|36|00
Henegama WestGallala|370A371A|1,5441,225|133113|132104|139110|13392|12293|111104|109100|9175|9578|11175|8675|8661|5847|4937|3520|2420|219|67|12|23
Nimalawa EastNimalawa|371B371|6291,537|59115|43119|39129|58134|60139|66114|50104|2681|28102|33110|43100|3893|2561|2256|1727|629|1514|07|11|02
ParagahawattaWelipitiya|370B|98452,098|714,566|644,573|914,136|964,191|693,682|653,715|593,815|623,428|843,247|673,146|483,145|582,678|562,368|311,858|241,276|221,115|10644|5325|1119|171
Wahala Kananke NorthNivithiwelbokka|373373A|9951,340|68134|84104|8984|63104|7091|70104|6094|5196|7978|5985|7285|6180|4069|3237|2835|3428|2319|85|16|32
Poramba Kananke NorthPuhulahena|372372C|1,3751,030|10884|11068|107106|11894|8980|11376|10369|8470|7273|8565|9358|8536|7838|4341|2634|2420|1511|134|43|50
Poramba Kananke SouthWahala Kananke South|372A373B|1,7571,406|14993|155100|137112|138117|13093|15095|115102|11690|10481|11985|10492|9484|9774|5074|3329|3936|1222|1119|14|34
NalawanaPenetiyana West|372B394B|7311,408|59119|63114|62107|50103|4782|4479|52107|41100|6094|4379|4485|3286|3074|3365|2637|2042|1120|1010|34|11
Penetiyana East|394A|771|66|64|65|55|43|58|67|53|42|37|49|47|33|33|23|20|9|4|2|1
WellanaUdukawa North|394392B|9231,429|78137|69139|65108|74116|5896|69108|53109|61120|5289|5182|6281|4083|5853|3934|3525|3022|1718|93|25|11
Udukawa SouthHallala|392A375|1,9821,095|165101|186112|13692|15079|11784|14175|18090|12270|15063|13063|12762|9750|7143|6541|5122|4127|2914|165|82|00
BathalahenaKokmaduwa North|375E375C|933715|7461|9053|8759|9137|6262|5653|6263|5345|7338|5946|5647|5137|3231|3126|2224|1614|1112|43|32|02
